City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,carnarvon,-24.8667,113.6333,23.32,64,0,11.82,AU,1673118539
1,jamestown,42.097,-79.2353,0.86,72,100,4.12,US,1673118539
2,kapaa,22.0752,-159.319,23.18,86,40,2.57,US,1673118573
3,auki,-8.7676,160.7034,25.49,87,100,2.38,SB,1673118573
4,hermanus,-34.4187,19.2345,19.89,73,100,6.26,ZA,1673118416
5,busselton,-33.65,115.3333,12.77,91,2,3.53,AU,1673118574
6,tiksi,71.6872,128.8694,-39.26,100,81,1.38,RU,1673118574
7,vardo,70.3705,31.1107,-11.01,92,16,7.2,NO,1673118575
8,bredasdorp,-34.5322,20.0403,19.42,68,86,5.07,ZA,1673118397
9,cidreira,-30.1811,-50.2056,23.85,68,36,6.88,BR,1673118576
10,diamantino,-14.4086,-56.4461,29.92,60,100,0.79,BR,1673118576
11,torbay,47.6666,-52.7314,-0.24,84,100,2.68,CA,1673118339
12,hasaki,35.7333,140.8333,-0.78,64,7,4.47,JP,1673118577
13,mataura,-46.1927,168.8643,9.82,77,3,1.75,NZ,1673118578
14,danville,36.586,-79.395,10.48,57,100,2.68,US,1673118578
15,vilyuysk,63.7553,121.6247,-27.97,98,100,2.06,RU,1673118579
16,georgetown,5.4112,100.3354,26.96,74,20,2.57,MY,1673118386
17,ushuaia,-54.8,-68.3,16.81,36,40,4.12,AR,1673118308
18,leua,48.2156,18.6071,7.5,89,98,3.88,SK,1673118580
19,kaitangata,-46.2817,169.8464,11.11,77,1,3.14,NZ,1673118581
20,tuatapere,-46.1333,167.6833,9.71,84,16,2.11,NZ,1673118421
21,nokaneng,-19.6667,22.2667,26.01,25,99,2.7,BW,1673118581
22,saint-philippe,-21.3585,55.7679,25.77,80,38,5.14,RE,1673118392
23,bengkulu,-3.8004,102.2655,23.78,89,100,2.89,ID,1673118582
24,nipawin,53.3668,-104.0009,-5.87,90,100,3.15,CA,1673118582
25,trat,12.5,102.5,24.39,62,100,3.2,TH,1673118583
26,bluff,-46.6,168.3333,11.09,76,2,5.02,NZ,1673118584
27,moron,-34.6534,-58.6198,33.3,37,36,4.53,AR,1673118584
28,thompson,55.7435,-97.8558,-10.44,88,34,2.62,CA,1673118584
29,soure,-0.7167,-48.5233,27.53,73,99,3.83,BR,1673118585
30,dingle,10.9995,122.6711,22.77,87,98,4.14,PH,1673118585
31,cruz alta,-28.6386,-53.6064,33.48,14,0,4.52,BR,1673118586
32,tpig,41.7801,47.589,-5.35,81,89,3.58,RU,1673118586
33,vaini,-21.2,-175.2,28.09,89,75,3.6,TO,1673118587
34,tazovskiy,67.4667,78.7,-42.45,99,54,1.58,RU,1673118587
35,lebu,-37.6167,-73.65,18.53,71,11,3.32,CL,1673118455
36,aklavik,68.2191,-135.0107,-19.1,98,100,1.51,CA,1673118588
37,bouca,6.5105,18.2733,27.05,23,93,2.11,CF,1673118588
38,moba,33.2288,105.0179,-0.5,76,0,0.55,CN,1673118589
39,kiama,-34.6833,150.8667,16.36,88,100,0.45,AU,1673118589
40,hithadhoo,-0.6,73.0833,26.73,79,57,4.98,MV,1673118590
41,kumluca,36.3703,30.2869,13.19,68,3,2.2,TR,1673118590
42,vytegra,61.0064,36.4481,-14.96,98,100,2.33,RU,1673118591
43,ancud,-41.8697,-73.8203,17.48,76,100,3.91,CL,1673118464
44,punta arenas,-53.15,-70.9167,19.06,30,20,10.29,CL,1673118592
45,yellowknife,62.456,-114.3525,-12.71,92,100,1.03,CA,1673118383
46,breves,-1.6822,-50.4803,32.27,47,100,2.71,BR,1673118592
